timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769960509638,89,Arama - Telefon,200,OK,Arama 1-1,text,true,,85104,356,1,1,https://www.n11.com/arama?q=telefon,73,0,0
1769960507823,1904,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161662,697,1,1,null,385,0,0
1769960510197,263,Ana sayfa,200,OK,Arama 1-1,text,true,,76596,341,1,1,https://www.n11.com/,250,0,0
1769960510814,98,Arama - Telefon,200,OK,Arama 1-1,text,true,,85356,356,1,1,https://www.n11.com/arama?q=telefon,85,0,0
1769960509727,1185,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161952,697,1,1,null,335,0,0
1769960511394,262,Ana sayfa,200,OK,Arama 1-1,text,true,,76835,341,1,1,https://www.n11.com/,252,0,0
1769960512321,122,Arama - Telefon,200,OK,Arama 1-1,text,true,,85372,356,1,1,https://www.n11.com/arama?q=telefon,107,0,0
1769960510912,1532,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162207,697,1,1,null,359,0,0
1769960513020,285,Ana sayfa,200,OK,Arama 1-1,text,true,,76626,341,1,1,https://www.n11.com/,274,0,0
1769960513959,95,Arama - Telefon,200,OK,Arama 1-1,text,true,,85372,356,1,1,https://www.n11.com/arama?q=telefon,80,0,0
1769960512444,1611,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,161998,697,1,1,null,354,0,0
1769960514639,320,Ana sayfa,200,OK,Arama 1-1,text,true,,77223,341,1,1,https://www.n11.com/,307,0,0
1769960515746,104,Arama - Telefon,200,OK,Arama 1-1,text,true,,85364,356,1,1,https://www.n11.com/arama?q=telefon,84,0,0
1769960514055,1795,TX - Arama Akışı,200,"Number of samples in transaction : 2, number of failing samples : 0",Arama 1-1,,true,,162587,697,1,1,null,391,0,0
1769960516183,282,Ana sayfa,200,OK,Arama 1-1,text,true,,76751,341,1,1,https://www.n11.com/,265,0,0
